Identificatore; Italiano; Inglese
LINGUA; LINGUA; LANGUAGE
LINGUA_MAX; N.MAX.LINGUE BAN; N.MAX.LINGUE BAN
STRINGA_DITTA_VISUALIZZATA; LOGO IN TESTATA; LOGO IN TESTATA
ABILITA_VISUALIZZAZIONE_TEMPERATURA; VISUALIZZO TEMP.;VISUALIZZO TEMP.
ABILITA_TASTO_MENU; AB. TASTO MENU; AB. TASTO MENU
ABILITA_VISUALIZZAZIONE_CICLI_TOTALI;AB.VIS.NRO CICLI; AB.VIS.NRO CICLI
ABILITA_PARAMETRI_RIDOTTI;AB.PAR.MAC.RIDOT;AB.PAR.MAC.RIDOT
MODELLO_MACCHINA; MODELLO MACCHINA;MODELLO MACCHINA
ABILITA_AUTOAVVIO; AB. AUTOAVVIO; AB. AUTOAVVIO
TIPO_PAUSA; TIPO PAUSA ASCI.; TIPO PAUSA ASCI.
ABILITA_GAS; AB.GAS + T.VENT.; AB.GAS + T.VENT.
NUMERO_TENTATIVI_RESET_GAS;NRO RESET BR.GAS; NRO RESET BR.GAS
ABILITA_RESET_GAS_ESTESO; AB.RESET GAS EST; AB.RESET GAS EST
ABILITA_BLOCCO_NO_ARIA; AB.BLOCC.NO ARIA; AB.BLOCC.NO ARIA
ALLARME_INVERTER_OFF_ON; ALL.MOTOR.NA/NC; ALL.MOTOR.NO/NC
ALLARME_FILTRO_OFF_ON; ALL.FILTR.NA/NC; ALL.FILTR.NO/NC
EMERGENZA_NA_NC; EMERGENZA NA/NC; EMERGENCY NO/NC
MACCHINA_LIBERA_OFF_ON;MACC.LIB OFF/ON; MACC.LIB OFF/ON
TIPO_OUT_MACCHINA_OCCUPATA; TIPO OUT MAC OCC; TIPO OUT MAC OCC
TEMPO_USCITA_PAGINE; T. OUT PAGINE; T. OUT PAGINE
TEMPO_RESET_LINGUA;T.RITORNO LINGUA; T.RITORNO LINGUA
TEMPO_AZZERAMENTO_CICLO_PAUSA; T. TASTO x PAUSA; T. TASTO x PAUSA
TEMPO_AZZERAMENTO_CICLO_STOP; T.TASTO X STOP;T.TASTO X STOP  
ABILITA_STOP_TEMPO_CICLO; ALT.T.CICLO/ALL.; ALT.T.CICLO/ALL.
TEMPO_ATTESA_AZZERAMENTO_CICLO;T. AZZERO CICLO; T. AZZERO CICLO
SONDA_TEMPERATURA1_IN_OUT; DOVE T1  IN/OUT; DOVE T1  IN/OUT
TEMPERATURA_MAX_1_IN; TEMP. MAX IN INP; TEMP. MAX IN INP  
TEMPERATURA_SICUREZZA_1; TEMP.SIC IN INP; TEMP.SIC IN INP
TEMPERATURA_MAX_1_OUT;TEMP.MAX  IN OUT; TEMP.MAX  IN OUT
TEMPERATURA_SICUREZZA_1_OUT;TEMP.SIC  IN OUT; TEMP.SIC  IN OUT
TEMPO_ALLARME_TEMPERATURA_1; T.ALLARME TEMP; T.ALLARME TEMP
TEMPO_ALLARME_NO_UMIDITA;T.ALL.NO UMIDITA; T.ALL.NO UMIDITA
TEMPO_ANTIGELO; T.ATT. T1 BASSA; T.ATT. T1 BASSA
TEMPO_ATTESA_PARTENZA_CICLO;T.INIBIZ.RIL TEM;T.INIBIZ.RIL TEM
PERCENTUALE_ANTICIPO_TEMPERATURA_VENTOLA;% ANTIC.TEMP.VEN; % ANTIC.TEMP.VEN
PERCENTUALE_VELOCITA_MIN_VENTOLA;% VEL. MIN.VENTO; % VEL. MIN.VENTO
TEMPO_FLUSSO_ARIA_BLOCCO_GAS; T.FLU.ARIA B.GAS; T.FLU.ARIA B.GAS
TEMPO_ALLARME_FLUSSO_ARIA;T.ALL.FLUX ARIA; T.ALL.FLUX ARIA
VELOCITA_MIN_LAVORO; VEL. MIN. CESTO; VEL. MIN. CESTO
VELOCITA_MAX_LAVORO; VEL. MAX. CESTO; VEL. MAX. CESTO
ABILITA_GETTONIERA; USO GETTONIERA; USO GETTONIERA
NUMERO_GETTONI_CONSENSO; N. GETTONI CONS.; N. GETTONI CONS.
TEMPO_GETTONE_1; TEMPO GETTONE; TEMPO GETTONE
TEMPO_GETTONE_MIN_SEC;T. GETT. MIN/SEC; T. GETT. MIN/SEC
TIPO_VISUALIZZAZIONE_GETTONE_MONETA_CASSA; VIS.GETT/MON/CAS; VIS.GETT/MON/CAS
NUMERO_CICLI_MANUTENZIONE;NRO CIC.MAN. x50; NRO CIC.MAN. x50
TEMPO_CADENZA_AVVISO_MANUTENZIONE;T.CADENZA AL.MAN;T.CADENZA AL.MAN
TEMPO_DURATA_AVVISO_MANUTENZIONE;T.DURATA AL.MAN;T.DURATA AL.MAN
TEMPO_RITARDO_ANTIPIEGA;T.RITARDO ANTIP.; T.RITARDO ANTIP.
TEMPO_MAX_ANTIPIEGA;T.MAX DURAT.ANTI; T.MAX DURAT.ANTI
TEMPO_CADENZA_ANTIPIEGA;T.CADENZA ANTIP.; T.CADENZA ANTIP.
NUMERO_CICLI_MAX_ANTIPIEGA;NRO CIC.MAX ANTI; NRO CIC.MAX ANTI
TEMPO_GIRO_ANTIPIEGA;T.GIRO ANTIPIEGA; T.GIRO ANTIPIEGA
TEMPO_PAUSA_ANTIPIEGA; T.PAUSA ANTIPIE.; T.PAUSA ANTIPIE
VELOCITA_ANTIPIEGA; VELOCITA' ANTIP.; VELOCITA' ANTIP.
TEMPERATURA_RAFFREDDO_ALLARME; TEMP.RAFFR.ALLAR; TEMP.RAFFR.ALLAR
TIPO_ASCIUGATURA_M_A; ASCIUGA MAN/AUT.; ASCIUGA MAN/AUT
TEMPO_DURATA_ASCIUGATURA;T.DURATA ASCIUG.; T.DURATA ASCIUG.
ABILITA_ATTESA_TEMPERATURA;AB. ATTESA TEMP.; AB. ATTESA TEMP.
ABILITA_INVERSIONE_ASCIUGATURA;AB.INVERSIONE AS; AB.INVERSIONE AS
TEMPO_GIRO_ASCIUGATURA;T.GIRO CESTO ASC; T.GIRO CESTO ASC
TEMPO_PAUSA_ASCIUGATURA;T.PAUSA CESTO AS; T.PAUSA CESTO AS
VELOCITA_ASCIUGATURA;VELOC. CESTO ASC; VELOC. CESTO ASC
TEMPERATURA_ARIA_1; TEMP. ARIA; TEMP. ARIA
TEMPERATURA_ARIA_ALTO; OFFS. T. ALTO; HIGH T. OFFS.
TEMPERATURA_ARIA_BASSO; OFFS. T. BASSO; LOW T. OFFS.
UMIDITA_RESIDUA_DRY_AUTO; % TRH RESIDUA;  % TRH RESIDUA
ABILITA_RAFFREDDAMENTO; AB.RAFFREDDAMEN.; AB.RAFFREDDAMEN.
TEMPO_DURATA_RAFFREDDAMENTO; T.DURATA RAFFRED; T.DURATA RAFFRED
ABILITA_INVERSIONE_RAFFREDDAMENTO; AB.INVERSIONE RA; AB.INVERSIONE RA
TEMPO_GIRO_RAFFREDDAMENTO; T.GIRO CESTO RAF; T.GIRO CESTO RAF
TEMPO_PAUSA_RAFFREDDAMENTO;T.PAUSA CESTO RA; T.PAUSA CESTO RA
ABILITA_ANTIPIEGA; ABIL. ANTIPIEGA; ABIL. ANTIPIEGA
